heure,timestamp,ax(g),ay(g),az(g),gx(deg/s),gy(deg/s),gz(deg/s),roll(deg),pitch(deg),yaw(deg)
14:19:23.780,397.404288,0.1338,-0.0923,1.1660,8.4839,2.0142,-0.6104,3.7134,-10.2283,22.9340
14:19:23.880,397.504226,0.1226,0.0068,1.3018,19.2871,-48.1567,-24.9634,5.4822,-13.2111,21.5002
14:19:23.980,397.604238,0.3389,-0.0264,0.6006,-37.5366,52.4292,25.3906,7.8827,-16.6168,19.7754
14:19:24.079,397.704156,0.3506,-0.0894,1.1118,23.1934,-8.5449,-15.9912,6.0974,-11.9202,19.7095
14:19:24.179,397.804104,0.1479,-0.0635,1.0449,22.6440,3.0518,-35.5835,6.7621,-13.4033,19.1272
14:19:24.279,397.904045,0.1543,-0.0684,0.9180,7.8735,4.1504,-18.9209,7.4597,-13.3154,16.9629
14:19:24.379,398.003988,0.2627,-0.1230,1.0010,-2.8687,1.2207,-10.0098,6.8719,-12.9144,15.5017
14:19:24.479,398.104080,0.3730,-0.0894,0.8828,2.0142,-7.2021,-11.6577,6.0919,-12.3706,14.5898
14:19:24.579,398.203937,0.1919,-0.2358,1.2510,7.9346,-1.0986,-22.5220,5.8887,-11.9257,13.8098
14:19:24.679,398.303913,0.1704,-0.0991,1.2949,-16.9067,28.0762,-15.8691,6.0205,-12.1783,11.7664
14:19:24.779,398.403853,0.2798,-0.0674,0.7349,0.6714,-5.8594,-15.5029,5.3668,-11.8652,9.8328
14:19:24.879,398.503846,0.2661,-0.1245,0.9434,-2.5024,-10.0098,-18.4937,4.4550,-11.1456,8.5748
14:19:24.979,398.603797,0.2930,-0.2622,0.9067,14.5264,-27.3438,-25.1465,4.3506,-12.0410,6.7401
14:19:25.079,398.703795,0.1855,-0.3477,1.2573,-4.2725,-2.3193,-14.5264,3.6969,-11.9366,4.5813
14:19:25.179,398.803816,0.2949,-0.1416,0.7935,9.5215,-11.8408,-15.4419,3.3673,-13.3759,2.8949
