trajectoire
108,166.96647958698236,324.5779969827669
109,168.96108832962418,294.62257737323716
110,173.9153885548409,267.91594506109215
111,179.92622078189635,235.8557738065708
112,183.93863992698746,210.7809197600043
113,188.90712428308703,178.95923473161554
114,191.31635619885785,164.74189545047656
115,197.1102137163899,164.99878514608494
116,209.57685174970095,165.3735972102004
117,221.07176669022647,182.09337729092098
118,233.5814460976635,196.64876543735275
119,250.0,209.0
120,271.26188579191063,224.68817224509058
121,290.485660124312,225.3383745511891
122,293.3977968390188,221.37894576708175
123,300.64409696255524,208.85266386654055
124,304.9265580223254,189.14616977527083
125,292.8402737064981,169.79807903608176
126,275.558715983101,153.48780117994133
127,264.97959188207835,141.97298026896158
128,255.5863992662776,127.00878384641737
129,251.97455783272807,113.49623977048218
bordure_interieure
1,243.0139466705002,96.62680809844804
2,245.03031905763956,74.45020792008289
3,248.0497439085789,51.296462773303084
4,250.08084669563482,38.10449412723702
5,254.60359837402945,17.61847680188425
6,267.08658283817454,5.380602337443566
7,287.199384100372,5.145983335445296
8,306.89153812747685,15.3716003292389
9,327.8257083922461,21.87503065684241
10,343.0304126742209,41.04098434010908
11,352.27246586360707,54.402686879809735
12,361.8097648557721,72.63392458766737
13,362.9984036160136,89.12633800466239
14,360.81245406622145,107.35657136211434
15,354.56819336881694,121.03263605820051
16,348.5078217204065,135.16322521643752
17,340.635626916121,149.87375641280673
18,334.9720072675397,169.52834054503916
19,335.8572962113564,182.81396732121638
20,342.1297689835215,197.18131091768822
21,346.68587633433873,201.78264676406647
22,354.8597164544781,205.0019683347486
23,365.0538837602835,200.929468022859
24,367.0153197628521,184.6088952398824
25,367.03463583664234,170.41249789341353
26,373.1380634900974,144.83313523762337
27,379.1690776714391,119.71074073382745
28,385.45492361429535,100.47403439898811
29,398.27393427657296,96.05299802251258
30,412.91341716182546,96.38060233744356
31,425.2481483697004,108.19874597423264
32,436.65742281987815,116.59070999816169
33,447.8062437308218,134.62158743478724
34,448.0,143.0
35,447.95761401734904,160.6496639554296
36,443.93324869783135,175.81428329550906
37,442.92897106981513,190.8397881833685
38,437.9541875086006,208.67529706768633
39,437.9923488142777,227.27650192870894
40,435.92116001569974,245.88441172531685
41,431.92116001569974,261.88441172531685
42,429.9019609722199,279.9852809887707
43,424.9115672739,296.9362194795849
44,422.8091906110694,319.3680956349619
45,413.9045658700763,336.06982765069824
46,395.5672238614325,338.981235269879
47,373.2779866781831,331.33865494356894
48,370.03621059287013,318.6006619029581
49,369.0070036109444,295.26455067355374
50,368.00243486975546,279.1560216938887
51,368.055585210662,260.74347991968557
52,364.96539366738534,249.95329506497842
53,354.808598151465,242.85598204643586
54,340.7000842670123,244.95074560233928
55,322.5258871550399,247.76147754274703
56,316.73473123867467,250.68942507452311
57,307.98753414113537,252.9015075558538
58,295.42802857872533,254.79173605057122
59,273.4022470368477,264.7993440434763
60,259.49083788671095,266.77256769418176
61,249.95265420164375,271.06211116098484
62,247.81186389127004,283.3586632739173
63,241.92822271917433,299.84416872141406
64,241.99723068040765,319.1663896835516
65,240.87559704199433,335.10840131906104
66,232.90978193365711,354.94553760577475
67,233.0,367.0
68,233.0,384.0
69,232.98902282601844,393.3311362883573
70,230.79401624027426,406.5796450133904
71,234.69914880024552,410.7911289216545
72,247.2933213732064,414.17016358189977
73,263.39793826879037,418.1993991421228
74,283.66861094095015,425.6027520308431
75,288.9921021677264,444.71908017695125
76,286.9175801542316,460.90410476533845
77,282.7680342886787,478.5052737365624
78,276.72043569781385,493.64848015541725
79,270.49985926871693,514.1797400215949
80,263.6364969105017,523.8716026284733
81,260.791608235969,542.4284573892818
82,251.3534340922598,563.4591892168661
83,240.41619797377794,578.3774407307823
84,215.10861869342685,579.9988200587177
85,198.63190436503814,579.8091906110694
86,175.77485117189164,565.8207872273331
87,159.89735472497077,547.8580240984429
88,152.0674133638353,532.8182842273497
89,155.2450866407694,512.4537791405462
90,161.59591355557689,500.33773355981646
91,180.19337258639567,492.33780122813135
92,191.4943241066599,488.23209269131473
93,216.16649053965747,481.88038543815696
94,222.87351075994582,472.17651163421607
95,231.00724644163432,460.73090539688263
96,224.40192494083223,448.47186633795064
97,215.18184539009704,443.65771551455094
98,209.0293482044178,445.56965489563777
99,201.11423403971747,453.8413162911633
100,192.99474118170718,463.0039387176363
101,177.92870522148854,469.91299365067573
102,157.9517197421676,468.5612002790246
103,141.4182317394123,452.00184904682425
104,140.0500807997678,423.2940963867689
105,147.11237797743325,401.9458885426481
106,150.02966174061137,373.45618239523
107,153.04892883944507,347.30222183817403
108,157.03352041301764,323.4220030172331
109,159.03891167037582,293.37742262676284
110,164.0846114451591,266.08405493890785
111,170.07377921810365,234.1442261934292
112,174.06136007301254,209.2190802399957
113,179.09287571691297,177.04076526838446
114,184.68364380114215,157.25810454952344
115,196.8897862836101,155.00121485391506
116,214.42314825029905,156.6264027897996
117,228.92823330977353,175.90662270907902
118,240.4185539023365,189.35123456264725
119,256.0,201.0
120,274.73811420808937,215.31182775490942
121,285.514339875688,216.6616254488109
122,284.6022031609812,216.62105423291825
123,291.35590303744476,205.14733613345945
124,295.0734419776746,190.85383022472917
125,285.1597262935019,176.20192096391824
126,268.441284016899,160.51219882005867
127,257.02040811792165,148.02701973103842
128,246.4136007337224,130.99121615358263
129,242.02544216727193,114.50376022951782
